epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.028221,31.6345,0.81163,62.9
2,2828,2.998e-04,0.025061,31.9047,0.83049,61.7
3,4242,2.992e-04,0.024136,32.4232,0.83544,61.4
4,5656,2.982e-04,0.023408,32.7018,0.84076,61.1
5,7070,2.967e-04,0.023056,32.7889,0.83881,60.9
6,8484,2.949e-04,0.022620,32.7792,0.85423,60.9
7,9898,2.927e-04,0.022309,32.9057,0.85702,60.9
8,11312,2.900e-04,0.022165,33.0508,0.85363,60.7
9,12726,2.870e-04,0.022015,33.2331,0.85469,60.7
10,14140,2.837e-04,0.021801,33.2551,0.85255,60.8
11,15554,2.799e-04,0.021638,33.2058,0.86183,60.7
12,16968,2.758e-04,0.021465,33.3714,0.85820,60.5
13,18382,2.714e-04,0.021370,33.4968,0.85541,60.6
14,19796,2.666e-04,0.021242,33.5848,0.86328,60.7
15,21210,2.615e-04,0.021137,33.5654,0.85528,60.7
16,22624,2.561e-04,0.021002,33.7048,0.86554,61.4
17,24038,2.504e-04,0.020868,33.4873,0.86735,60.9
18,25452,2.444e-04,0.020829,33.5978,0.86875,60.6
19,26866,2.382e-04,0.020723,33.7095,0.86072,60.6
20,28280,2.317e-04,0.020692,33.8355,0.86287,60.8
21,29694,2.250e-04,0.020514,33.8508,0.86591,60.8
22,31108,2.181e-04,0.020537,33.7695,0.86916,61.0
23,32522,2.110e-04,0.020413,33.6504,0.87321,61.0
24,33936,2.038e-04,0.020329,33.6597,0.87434,60.8
25,35350,1.964e-04,0.020211,33.8467,0.87472,60.7
26,36764,1.888e-04,0.020170,33.8793,0.87467,61.1
27,38178,1.812e-04,0.020150,33.9453,0.87486,60.7
28,39592,1.735e-04,0.020130,33.9076,0.87473,60.6
29,41006,1.657e-04,0.020067,34.0479,0.87403,60.8
30,42420,1.579e-04,0.019920,33.9706,0.87524,60.6
31,43834,1.500e-04,0.019882,34.1359,0.87223,60.6
32,45248,1.421e-04,0.019878,34.1915,0.87282,60.9
33,46662,1.343e-04,0.019752,34.0945,0.87721,60.6
34,48076,1.265e-04,0.019713,33.9430,0.87668,60.7
35,49490,1.188e-04,0.019704,34.2033,0.87564,60.8
36,50904,1.112e-04,0.019628,34.2398,0.87775,60.6
37,52318,1.036e-04,0.019579,34.1849,0.87944,60.5
38,53732,9.624e-05,0.019519,34.2732,0.87838,60.5
39,55146,8.899e-05,0.019524,34.3219,0.87811,60.5
40,56560,8.190e-05,0.019478,34.2797,0.87754,60.6
41,57974,7.500e-05,0.019399,34.3377,0.87543,60.6
42,59388,6.830e-05,0.019385,34.3559,0.87642,60.8
43,60802,6.183e-05,0.019368,34.3833,0.87751,60.7
44,62216,5.560e-05,0.019321,34.3918,0.87925,60.7
45,63630,4.963e-05,0.019248,34.3809,0.87801,60.9
46,65044,4.393e-05,0.019260,34.4494,0.87787,60.6
47,66458,3.853e-05,0.019262,34.4461,0.88025,60.7
48,67872,3.343e-05,0.019135,34.4517,0.87914,60.8
49,69286,2.865e-05,0.019196,34.4952,0.87965,60.7
50,70700,2.420e-05,0.019142,34.5086,0.87810,61.4
51,72114,2.010e-05,0.019069,34.4670,0.88099,61.3
52,73528,1.635e-05,0.019128,34.5252,0.87915,61.5
53,74942,1.297e-05,0.019056,34.5156,0.87943,61.1
54,76356,9.963e-06,0.019069,34.5044,0.88033,61.1
55,77770,7.342e-06,0.019040,34.5217,0.88077,61.1
56,79184,5.111e-06,0.019011,34.5285,0.88071,61.1
57,80598,3.278e-06,0.019020,34.5302,0.88068,61.0
58,82012,1.847e-06,0.019030,34.5275,0.88099,61.2
59,83426,8.217e-07,0.019022,34.5282,0.88094,60.9
60,84840,2.056e-07,0.019047,34.5338,0.88073,61.0
