epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.038191,27.1309,0.69927,1063.7
2,2828,2.998e-04,0.037722,27.2205,0.70014,1059.0
3,4242,2.992e-04,0.037362,27.2621,0.70101,1060.6
4,5656,2.982e-04,0.037245,27.2369,0.70368,1059.5
5,7070,2.967e-04,0.037107,27.2449,0.70388,1062.0
6,8484,2.949e-04,0.037063,27.2750,0.70448,1060.1
7,9898,2.927e-04,0.036895,27.2859,0.70346,1060.7
8,11312,2.900e-04,0.036945,27.3291,0.70483,1060.0
9,12726,2.870e-04,0.036790,27.1336,0.70545,1067.3
10,14140,2.837e-04,0.036752,27.3939,0.70626,1060.8
11,15554,2.799e-04,0.036697,27.4170,0.70684,1064.3
12,16968,2.758e-04,0.036665,27.4421,0.70838,1069.6
13,18382,2.714e-04,0.036622,27.4442,0.70765,1067.4
14,19796,2.666e-04,0.036529,27.3718,0.70821,1066.2
15,21210,2.615e-04,0.036503,27.3246,0.70717,1064.5
16,22624,2.561e-04,0.036477,27.4310,0.70664,1064.0
17,24038,2.504e-04,0.036484,27.3532,0.70981,1067.1
18,25452,2.444e-04,0.036452,27.3854,0.71028,1066.9
19,26866,2.382e-04,0.036451,27.3657,0.71037,1065.7
20,28280,2.317e-04,0.036415,27.4450,0.71118,1064.9
21,29694,2.250e-04,0.036416,27.4138,0.70928,1066.1
22,31108,2.181e-04,0.036367,27.4445,0.70941,1067.0
23,32522,2.110e-04,0.036334,27.4556,0.71008,1067.8
24,33936,2.038e-04,0.036315,27.5064,0.71166,1066.4
25,35350,1.964e-04,0.036334,27.4230,0.71077,1065.3
26,36764,1.888e-04,0.036281,27.4713,0.71078,1064.2
27,38178,1.812e-04,0.036232,27.5086,0.71124,1064.9
28,39592,1.735e-04,0.036272,27.4486,0.71108,1064.0
29,41006,1.657e-04,0.036248,27.4482,0.71067,1069.4
30,42420,1.579e-04,0.036232,27.5009,0.71095,1067.8
31,43834,1.500e-04,0.036230,27.4761,0.71206,1066.1
32,45248,1.421e-04,0.036195,27.4713,0.71170,1067.4
33,46662,1.343e-04,0.036215,27.5285,0.71192,1068.0
34,48076,1.265e-04,0.036206,27.4888,0.71143,1068.7
35,49490,1.188e-04,0.036207,27.4538,0.71094,1065.6
36,50904,1.112e-04,0.036199,27.4850,0.71297,1066.8
37,52318,1.036e-04,0.036132,27.5412,0.71249,1068.6
38,53732,9.624e-05,0.036110,27.5022,0.71160,1066.6
39,55146,8.899e-05,0.036073,27.4939,0.71245,1066.0
40,56560,8.190e-05,0.036143,27.4988,0.71218,1066.9
41,57974,7.500e-05,0.035984,27.4808,0.71201,1068.4
42,59388,6.830e-05,0.036070,27.5028,0.71274,1067.3
43,60802,6.183e-05,0.036093,27.5166,0.71272,1066.0
44,62216,5.560e-05,0.036036,27.5119,0.71256,1065.2
45,63630,4.963e-05,0.036006,27.5170,0.71300,1065.6
46,65044,4.393e-05,0.036027,27.5018,0.71305,1066.6
47,66458,3.853e-05,0.036059,27.5418,0.71285,1065.6
48,67872,3.343e-05,0.035951,27.5365,0.71289,1069.0
49,69286,2.865e-05,0.036108,27.5597,0.71289,1065.0
50,70700,2.420e-05,0.036016,27.5326,0.71303,1066.5
51,72114,2.010e-05,0.035954,27.5436,0.71320,1063.1
52,73528,1.635e-05,0.035952,27.5376,0.71344,1064.9
53,74942,1.297e-05,0.035982,27.5580,0.71299,1066.5
54,76356,9.963e-06,0.035972,27.5467,0.71333,1066.0
55,77770,7.342e-06,0.035965,27.5498,0.71325,1065.4
56,79184,5.111e-06,0.035913,27.5494,0.71349,1065.4
57,80598,3.278e-06,0.035973,27.5455,0.71348,1065.8
58,82012,1.847e-06,0.036027,27.5443,0.71346,1064.9
59,83426,8.217e-07,0.035961,27.5441,0.71345,1065.7
60,84840,2.056e-07,0.035990,27.5448,0.71345,1060.8
