epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1374,3.000e-04,0.113241,20.0868,0.71905,87.2
2,2748,2.998e-04,0.102700,20.5305,0.73161,87.5
3,4122,2.992e-04,0.100405,20.4426,0.73729,86.7
4,5496,2.982e-04,0.097745,20.8535,0.73717,86.9
5,6870,2.967e-04,0.095825,20.5914,0.73850,86.6
6,8244,2.949e-04,0.093996,21.1739,0.74659,86.9
7,9618,2.927e-04,0.092674,20.9235,0.74722,86.8
8,10992,2.900e-04,0.091639,21.1089,0.75259,87.1
9,12366,2.870e-04,0.090994,21.3072,0.75444,86.8
10,13740,2.837e-04,0.089651,21.0651,0.75294,86.8
11,15114,2.799e-04,0.088680,21.2843,0.76096,87.1
12,16488,2.758e-04,0.088181,21.3570,0.76448,86.8
13,17862,2.714e-04,0.087212,21.6582,0.76630,86.7
14,19236,2.666e-04,0.086383,21.7168,0.76762,87.1
15,20610,2.615e-04,0.086012,21.5141,0.77285,86.6
16,21984,2.561e-04,0.084783,21.5439,0.77305,87.2
17,23358,2.504e-04,0.084810,21.7774,0.77794,86.7
18,24732,2.444e-04,0.084215,21.7739,0.77740,87.0
19,26106,2.382e-04,0.083490,21.8312,0.77781,87.2
20,27480,2.317e-04,0.083190,21.9062,0.78142,87.2
21,28854,2.250e-04,0.082446,21.9024,0.78301,87.2
22,30228,2.181e-04,0.082143,22.0856,0.78472,86.7
23,31602,2.110e-04,0.081467,22.1048,0.78603,87.2
24,32976,2.038e-04,0.080936,21.8035,0.78572,87.9
25,34350,1.964e-04,0.080698,22.1100,0.78624,87.9
26,35724,1.888e-04,0.080309,22.0520,0.78982,87.8
27,37098,1.812e-04,0.079257,22.2805,0.79132,87.7
28,38472,1.735e-04,0.079044,22.2732,0.79061,88.0
29,39846,1.657e-04,0.079003,22.1966,0.79139,87.8
30,41220,1.579e-04,0.078655,22.3119,0.79200,87.8
31,42594,1.500e-04,0.077979,22.3364,0.79421,87.7
32,43968,1.421e-04,0.077444,22.3963,0.79360,87.7
33,45342,1.343e-04,0.077349,22.2292,0.79621,87.7
34,46716,1.265e-04,0.076932,22.2430,0.79409,87.2
35,48090,1.188e-04,0.076738,22.4940,0.79779,87.5
36,49464,1.112e-04,0.076209,22.4386,0.79856,87.1
37,50838,1.036e-04,0.075814,22.5741,0.79891,86.7
38,52212,9.624e-05,0.075747,22.3311,0.79823,86.8
39,53586,8.899e-05,0.075290,22.5483,0.79858,86.6
40,54960,8.190e-05,0.074951,22.1794,0.79789,86.7
41,56334,7.500e-05,0.074604,22.5666,0.79955,87.5
42,57708,6.830e-05,0.073982,22.5541,0.80086,86.8
43,59082,6.183e-05,0.073933,22.4881,0.80039,86.7
44,60456,5.560e-05,0.073677,22.6599,0.80147,86.9
45,61830,4.963e-05,0.073434,22.5850,0.80052,87.4
46,63204,4.393e-05,0.073240,22.6499,0.80249,86.9
47,64578,3.853e-05,0.072775,22.5778,0.80148,87.5
48,65952,3.343e-05,0.072641,22.6364,0.80200,88.0
49,67326,2.865e-05,0.072627,22.6434,0.80333,87.5
50,68700,2.420e-05,0.072434,22.6864,0.80304,87.7
51,70074,2.010e-05,0.072073,22.6897,0.80257,87.6
52,71448,1.635e-05,0.071778,22.6905,0.80261,87.7
53,72822,1.297e-05,0.071708,22.6140,0.80212,88.0
54,74196,9.963e-06,0.071358,22.6885,0.80300,87.6
55,75570,7.342e-06,0.071372,22.6980,0.80309,87.7
56,76944,5.111e-06,0.071206,22.7138,0.80306,87.7
57,78318,3.278e-06,0.071131,22.6938,0.80304,87.8
58,79692,1.847e-06,0.071440,22.7150,0.80298,87.5
59,81066,8.217e-07,0.070986,22.7060,0.80286,86.9
60,82440,2.056e-07,0.070970,22.7087,0.80290,88.0
