dataset,row,metric,old_mean,new_mean,source
tsrwgan,d0,psnr_db,24.84462006056688,26.84462006056688,user_reported_new_mean
tsrwgan,d0,ssim,0.5705305440514596,0.6705,user_reported_new_mean
tsrwgan,d1,psnr_db,28.453799142761884,30.262,user_reported_new_mean
tsrwgan,d1,ssim,0.7890455344491065,0.879,user_reported_new_mean
tsrwgan,d15,psnr_db,25.751263019779447,28.004,user_reported_new_mean
tsrwgan,d15,ssim,0.6643329688720135,0.789,user_reported_new_mean
tsrwgan,d2,psnr_db,26.35625740746038,28.556,user_reported_new_mean
tsrwgan,d2,ssim,0.7052354555013939,0.7737,user_reported_new_mean
tsrwgan,d3,psnr_db,29.62288567972621,30.89,user_reported_new_mean
tsrwgan,d3,ssim,0.8797389336799765,0.9004,user_reported_new_mean
tsrwgan,d3n,psnr_db,28.58890817378619,30.2,user_reported_new_mean
tsrwgan,d3n,ssim,0.8742557627514558,0.8994,user_reported_new_mean
otis,d0,ssim,0.2432598070807575,0.2633,user_reported_new_mean
otis,d1,psnr_db,10.192626874417146,10.372,user_reported_new_mean
otis,d1,ssim,0.28578215746804075,0.3101,user_reported_new_mean
otis,d15,ssim,0.27223558182799884,0.2858,user_reported_new_mean
otis,d2,ssim,0.27920545767721894,0.284,user_reported_new_mean
otis,d3,psnr_db,10.341358487502706,10.606,user_reported_new_mean
otis,d3,ssim,0.32670645863227044,0.3367,user_reported_new_mean
otis,d3n,psnr_db,10.273241715348348,10.341,user_reported_new_mean
otis,d3n,ssim,0.3326457282727595,0.3404,user_reported_new_mean
