question,domain,column,comparison,metric,mean,n,min,max,range,absolute_mean_over_range,status
ladder,real,tsrwgan,d1-d0,psnr_db,3.417379939433122,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d1-d0,ssim,0.20850000000000002,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d15-d1,psnr_db,-2.257999999999999,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d15-d1,ssim,-0.08999999999999997,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d2-d15,psnr_db,0.5519999999999996,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d2-d15,ssim,-0.01529999999999998,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d3-d2,psnr_db,2.3339999999999996,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,tsrwgan,d3-d2,ssim,0.12669999999999992,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d0,psnr_db,4.045379939433122,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d0,ssim,0.2299,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d1,psnr_db,0.6280000000000001,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d1,ssim,0.021399999999999975,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d15,psnr_db,2.8859999999999992,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d15,ssim,0.11139999999999994,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d2,psnr_db,2.3339999999999996,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,tsrwgan,d3-d2,ssim,0.12669999999999992,,,,,,difference_of_supplied_means; replica_pairing_unverified
noise,real,tsrwgan,d3n-d3,psnr_db,-0.6900000000000013,,,,,,difference_of_supplied_means; replica_pairing_unverified
noise,real,tsrwgan,d3n-d3,ssim,-0.0010000000000000009,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d1-d0,psnr_db,0.5668805025941914,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d1-d0,ssim,0.04680000000000001,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d15-d1,psnr_db,-0.44589124242761713,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d15-d1,ssim,-0.02429999999999999,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d2-d15,psnr_db,0.04032944110073444,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d2-d15,ssim,-0.0018000000000000238,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d3-d2,psnr_db,0.6395618013268827,,,,,,difference_of_supplied_means; replica_pairing_unverified
ladder,real,otis,d3-d2,ssim,0.052700000000000025,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d0,psnr_db,0.8008805025941914,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d0,ssim,0.07340000000000002,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d1,psnr_db,0.23399999999999999,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d1,ssim,0.026600000000000013,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d15,psnr_db,0.6798912424276171,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d15,ssim,0.0509,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d2,psnr_db,0.6395618013268827,,,,,,difference_of_supplied_means; replica_pairing_unverified
direct_to_d3,real,otis,d3-d2,ssim,0.052700000000000025,,,,,,difference_of_supplied_means; replica_pairing_unverified
noise,real,otis,d3n-d3,psnr_db,-0.26500000000000057,,,,,,difference_of_supplied_means; replica_pairing_unverified
noise,real,otis,d3n-d3,ssim,0.003699999999999981,,,,,,difference_of_supplied_means; replica_pairing_unverified
