replica,row,columns,worst_gain_db,max_regret_to_best_tested_db
1,d0,"d0,d1,d2,d3",-1.7156145257725974,3.422130523323453
1,d1,"d0,d1,d2,d3",-0.2803579403514611,1.9839873786174067
1,d15,"d0,d1,d2,d3",-0.6874300128775594,3.2157052568963955
1,d2,"d0,d1,d2,d3",-0.8270455790416733,3.1349881525890346
1,d3,"d0,d1,d2,d3",0.4560574015944212,4.560831361403483
1,d3n,"d0,d1,d2,d3",-0.1699567895092322,4.942231193184291
2,d0,"d0,d1,d2,d3",-1.778466568458807,3.4316321306900264
2,d1,"d0,d1,d2,d3",-0.3193370615641271,2.0338687509527844
2,d15,"d0,d1,d2,d3",-0.7201523010540463,3.2563275368560625
2,d2,"d0,d1,d2,d3",-0.8483698940724835,3.1464904512575522
2,d3,"d0,d1,d2,d3",0.4344655439349978,4.505620422614012
2,d3n,"d0,d1,d2,d3",-0.3279393439852569,5.003082103496425
3,d0,"d0,d1,d2,d3",-1.653978084747635,3.2524254623344326
3,d1,"d0,d1,d2,d3",-0.27614680912869005,1.9910494955207625
3,d15,"d0,d1,d2,d3",-0.6767742058820616,3.198054045792542
3,d2,"d0,d1,d2,d3",-0.8133799921919938,3.1257567060701277
3,d3,"d0,d1,d2,d3",0.4846732810956915,4.485836774831782
3,d3n,"d0,d1,d2,d3",-0.2017832948783571,4.896958733572266
4,d0,"d0,d1,d2,d3",-1.7133170868421388,3.455340985365318
4,d1,"d0,d1,d2,d3",-0.2861606494742368,2.0467768059672338
4,d15,"d0,d1,d2,d3",-0.6998420200258337,3.2661434123079545
4,d2,"d0,d1,d2,d3",-0.8591651578374844,3.218539688253628
4,d3,"d0,d1,d2,d3",0.44478845920473375,4.620912119332612
4,d3n,"d0,d1,d2,d3",-0.19025907683036536,4.961582622116161
