replica,row,last_epoch,final_val_psnr,best_val_psnr,best_val_epoch,final_minus_best_db,last_10_val_span_db
1,d0,60,34.5338,34.5338,60,0.0,0.06680000000000064
1,d1,60,35.0974,35.0974,58,0.0,0.06550000000000011
1,d15,60,35.1463,35.1466,56,-0.00030000000000285354,0.05420000000000158
1,d2,60,34.1967,34.2039,56,-0.007199999999997431,0.04219999999999402
1,d3,60,28.6319,28.6376,56,-0.005699999999997374,0.029699999999998283
1,d3n,60,28.0616,28.0803,50,-0.018700000000002603,0.024100000000000676
2,d0,60,34.7889,34.7983,56,-0.009399999999999409,0.04840000000000089
2,d1,60,35.175,35.1762,55,-0.0012000000000043087,0.02120000000000033
2,d15,60,35.3001,35.3017,59,-0.001599999999996271,0.035899999999998045
2,d2,60,34.3542,34.3593,58,-0.005099999999998772,0.03179999999999694
2,d3,60,28.5512,28.5531,59,-0.0018999999999991246,0.040500000000001535
2,d3n,60,27.989,27.9936,55,-0.0045999999999999375,0.017099999999999227
3,d0,60,35.1484,35.1543,54,-0.005899999999996908,0.06029999999999802
3,d1,60,35.6394,35.64,56,-0.0005999999999986017,0.03359999999999985
3,d15,60,35.7092,35.7177,57,-0.008499999999997954,0.05689999999999884
3,d2,60,34.7974,34.8145,57,-0.017099999999999227,0.0771000000000015
3,d3,60,29.2172,29.2256,55,-0.00840000000000174,0.03249999999999886
3,d3n,60,28.5992,28.6062,51,-0.0070000000000014495,0.020600000000001728
4,d0,60,34.2293,34.2401,57,-0.010799999999996146,0.03960000000000008
4,d1,60,34.7171,34.726,58,-0.008899999999997021,0.0899999999999963
4,d15,60,34.9777,34.978,58,-0.00030000000000285354,0.03439999999999799
4,d2,60,33.9175,33.92,56,-0.0025000000000048317,0.03960000000000008
4,d3,60,28.1413,28.146,58,-0.004699999999999704,0.033200000000000784
4,d3n,60,27.5448,27.5597,49,-0.014900000000000801,0.02039999999999864
