replica,row,epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,d0,1,1414.0,0.0003,0.028221,31.6345,0.81163,62.9
1,d0,2,2828.0,0.0002998,0.025061,31.9047,0.83049,61.7
1,d0,3,4242.0,0.0002992,0.024136,32.4232,0.83544,61.4
1,d0,4,5656.0,0.0002982,0.023408,32.7018,0.84076,61.1
1,d0,5,7070.0,0.0002967,0.023056,32.7889,0.83881,60.9
1,d0,6,8484.0,0.0002949,0.02262,32.7792,0.85423,60.9
1,d0,7,9898.0,0.0002927,0.022309,32.9057,0.85702,60.9
1,d0,8,11312.0,0.00029,0.022165,33.0508,0.85363,60.7
1,d0,9,12726.0,0.000287,0.022015,33.2331,0.85469,60.7
1,d0,10,14140.0,0.0002837,0.021801,33.2551,0.85255,60.8
1,d0,11,15554.0,0.0002799,0.021638,33.2058,0.86183,60.7
1,d0,12,16968.0,0.0002758,0.021465,33.3714,0.8582,60.5
1,d0,13,18382.0,0.0002714,0.02137,33.4968,0.85541,60.6
1,d0,14,19796.0,0.0002666,0.021242,33.5848,0.86328,60.7
1,d0,15,21210.0,0.0002615,0.021137,33.5654,0.85528,60.7
1,d0,16,22624.0,0.0002561,0.021002,33.7048,0.86554,61.4
1,d0,17,24038.0,0.0002504,0.020868,33.4873,0.86735,60.9
1,d0,18,25452.0,0.0002444,0.020829,33.5978,0.86875,60.6
1,d0,19,26866.0,0.0002382,0.020723,33.7095,0.86072,60.6
1,d0,20,28280.0,0.0002317,0.020692,33.8355,0.86287,60.8
1,d0,21,29694.0,0.000225,0.020514,33.8508,0.86591,60.8
1,d0,22,31108.0,0.0002181,0.020537,33.7695,0.86916,61.0
1,d0,23,32522.0,0.000211,0.020413,33.6504,0.87321,61.0
1,d0,24,33936.0,0.0002038,0.020329,33.6597,0.87434,60.8
1,d0,25,35350.0,0.0001964,0.020211,33.8467,0.87472,60.7
1,d0,26,36764.0,0.0001888,0.02017,33.8793,0.87467,61.1
1,d0,27,38178.0,0.0001812,0.02015,33.9453,0.87486,60.7
1,d0,28,39592.0,0.0001735,0.02013,33.9076,0.87473,60.6
1,d0,29,41006.0,0.0001657,0.020067,34.0479,0.87403,60.8
1,d0,30,42420.0,0.0001579,0.01992,33.9706,0.87524,60.6
1,d0,31,43834.0,0.00015,0.019882,34.1359,0.87223,60.6
1,d0,32,45248.0,0.0001421,0.019878,34.1915,0.87282,60.9
1,d0,33,46662.0,0.0001343,0.019752,34.0945,0.87721,60.6
1,d0,34,48076.0,0.0001265,0.019713,33.943,0.87668,60.7
1,d0,35,49490.0,0.0001188,0.019704,34.2033,0.87564,60.8
1,d0,36,50904.0,0.0001112,0.019628,34.2398,0.87775,60.6
1,d0,37,52318.0,0.0001036,0.019579,34.1849,0.87944,60.5
1,d0,38,53732.0,9.624e-05,0.019519,34.2732,0.87838,60.5
1,d0,39,55146.0,8.899e-05,0.019524,34.3219,0.87811,60.5
